Dates,NI
2021-01-01,5
2021-01-02,31
2021-01-03,15
2021-01-04,4
2021-01-05,9
2021-01-06,4
2021-01-07,53
2021-01-08,52
2021-01-09,13
2021-01-10,4
2021-01-11,11
2021-01-12,0
2021-01-13,7
2021-01-14,24
2021-01-15,0
2021-01-16,0
2021-01-17,1
2021-01-18,12
2021-01-19,14
2021-01-20,18
2021-01-21,17
2021-01-22,22
2021-01-23,10
2021-01-24,8
2021-01-25,6
2021-01-26,0
2021-01-27,1
2021-01-28,3
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,4
2021-02-05,2
2021-02-06,2
2021-02-07,6
2021-02-08,2
2021-02-09,0
2021-02-10,0
2021-02-11,2
2021-02-12,2
2021-02-13,2
2021-02-14,0
2021-02-15,2
2021-02-16,5
2021-02-17,4
2021-02-18,9
2021-02-19,8
2021-02-20,6
2021-02-21,11
2021-02-22,4
2021-02-23,8
2021-02-24,21
2021-02-25,22
2021-02-26,26
2021-02-27,14
2021-02-28,4
2021-03-01,2
2021-03-02,3
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,5
2021-03-07,5
2021-03-08,2
2021-03-09,3
2021-03-10,11
2021-03-11,4
2021-03-12,3
2021-03-13,1
2021-03-14,0
2021-03-15,0
2021-03-16,1
2021-03-17,2
2021-03-18,2
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,1
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,1
2021-03-31,0
2021-04-01,1
2021-04-02,0
2021-04-03,1
2021-04-04,0
2021-04-05,2
2021-04-06,1
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,1
2021-04-15,0
2021-04-16,1
2021-04-17,0
2021-04-18,0
2021-04-19,1
2021-04-20,6
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,0
2021-04-25,7
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,2
2021-05-01,1
2021-05-02,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-06,4
2021-05-07,2
2021-05-08,8
2021-05-09,0
2021-05-10,0
2021-05-11,6
2021-05-12,10
2021-05-13,4
2021-05-14,1
2021-05-15,0
2021-05-16,3
2021-05-17,2
2021-05-18,3
2021-05-19,0
2021-05-20,0
2021-05-21,0
2021-05-22,0
2021-05-23,0
2021-05-24,16
2021-05-25,1
2021-05-26,0
2021-05-27,4
2021-05-28,0
2021-05-29,0
2021-05-30,1
2021-05-31,1
2021-06-01,0
2021-06-02,8
2021-06-03,10
2021-06-04,0
2021-06-05,0
2021-06-06,4
2021-06-07,1
2021-06-08,1
2021-06-09,0
2021-06-10,2
2021-06-11,6
2021-06-12,7
2021-06-13,10
2021-06-14,12
2021-06-15,2
2021-06-16,2
2021-06-17,0
2021-06-18,0
2021-06-19,1
2021-06-20,0
2021-06-21,0
2021-06-22,1
2021-06-23,0
2021-06-24,0
2021-06-25,1
2021-06-26,0
2021-06-27,0
2021-06-28,1
2021-06-29,4
2021-06-30,0
2021-07-01,2
2021-07-02,8
2021-07-03,6
2021-07-04,1
2021-07-05,14
2021-07-06,3
2021-07-07,0
2021-07-08,7
2021-07-09,6
2021-07-10,14
2021-07-11,1
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,0
2021-07-16,0
2021-07-17,0
2021-07-18,2
2021-07-19,0
2021-07-20,1
2021-07-21,0
2021-07-22,0
2021-07-23,1
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,62
2021-07-28,57
2021-07-29,81
2021-07-30,60
2021-07-31,22
2021-08-01,19
2021-08-02,19
2021-08-03,0
2021-08-04,1
2021-08-05,1
2021-08-06,8
2021-08-07,5
2021-08-08,0
2021-08-09,0
2021-08-10,1
2021-08-11,3
2021-08-12,3
2021-08-13,3
2021-08-14,2
2021-08-15,0
2021-08-16,2
2021-08-17,2
2021-08-18,3
2021-08-19,0
2021-08-20,9
2021-08-21,0
2021-08-22,23
2021-08-23,9
2021-08-24,11
2021-08-25,4
