Date,PM10,Fire,Wind direction,Wind speed (km/hr),Temperature,Humidity,Pressure (hPa)
2021-01-02,32.0,31,SE,1.3081475486111112±1.248262219486006,28.90972222222222±5.476204012282195,42.42638888888889±16.318694463866684,29.875399305555554±0.05804687160090568
2021-01-12,15.0,0,SE,2.120081930555555±2.022403053294663,21.796103395061728±2.781993825643054,58.932291666666664±11.96629262511558,29.90699652777778±0.05061561769308491
2021-02-26,76.0,26,NE,1.8998201631205673±2.8805436282685437,26.60717100078802±3.640015086202074,46.180851063829785±12.817766889265902,29.786187943262412±0.0356748383176914
2021-03-03,30.0,0,SE,1.3583056267605633±2.3926659531971732,25.61111111111111±2.9086523092147316,75.6468309859155±13.804022964068647,29.7993838028169±0.029959758964633022
2021-03-10,152.0,11,ESE,0.6185900625±1.1388459705225757,24.84934413580247±5.55013777627413,59.95034722222223±23.701328265552764,29.72661458333333±0.071829604282586
2021-04-01,12.0,1,SE,0.19390311805555557±0.502934793300049,19.235532407407405±3.916217329312707,68.58090277777778±21.175044888061546,29.91380208333333±0.022763112677758914
2021-05-07,7.0,2,SSE,0.6956967533632287±0.8583205587176062,13.634030891878425±4.439126643503886,63.50358744394619±19.484530376922393,30.227286995515698±0.028572149254204045
2021-05-23,41.0,0,W,5.1932163846153845±3.261290187475789,12.511994949494948±1.2947101561239103,74.68560606060606±9.8318380364518,29.88458333333333±0.05395936249636069
2021-05-30,2.0,1,SW,0.5252706944444445±1.13725908639394,12.956597222222221±3.1464265765529835,47.43055555555556±10.358152726875542,30.032326388888887±0.041317219307509215
2021-06-15,10.0,2,SSW,0.8778218181818183±0.8404504045072282,6.747474747474748±0.14350901456530257,55.63636363636363±0.8090398349558905,30.316363636363636±0.005045249791095347
2021-06-21,166.0,0,ESE,3.7819489999999996±2.023488866111391,9.753472222222221±2.492866052700868,83.89131944444445±7.422746915540388,30.11201388888889±0.021440456763268067
2021-06-29,10.0,4,W,0.022351944444444445±0.18866866620442244,6.265239197530864±3.6098859261426055,66.92013888888889±10.621646951050861,30.27506944444444±0.02459417023293351
2021-07-04,41.0,1,SSE,0.8655790486111111±0.8846269072492841,10.71219135802469±4.108783139193627,68.94236111111111±11.126548468275292,30.141423611111108±0.027697112356843582
2021-07-25,3.0,0,WSW,0.3911590277777778±0.8335142872909952,14.420331790123457±2.205299352246068,76.18055555555556±13.491849534866116,29.698541666666667±0.07021091917024416
2021-08-01,11.0,19,SW,0.0±0.0,12.597222222222221±3.9856795101963307,53.40972222222222±16.350649464215923,30.339062499999997±0.027091718973400833
2021-09-16,20.0,13,N,7.247617986111111±3.03095860968572,18.358024691358025±3.5561621009077973,36.03472222222222±9.724722039107426,30.123749999999998±0.06074881166299922
2021-09-21,23.0,8,S,8.098634876494025±3.725680988973375,14.29327135900841±3.1273553653732717,52.53067729083666±15.300059318167442,30.294043824701195±0.04414614447166885
2021-09-22,1.0,0,SE,7.420286756944445±2.7369772231748604,10.803433641975309±2.0062372626241096,77.25868055555556±4.444351345267156,30.17138888888889±0.05391451629895357
2021-09-24,27.0,3,SE,5.0291875±4.53439118361459,19.067550505050505±3.2297061295885214,55.08522727272727±17.048790755762305,30.073352272727274±0.04413758742134353
2021-10-03,12.0,1,SSW,3.7942425694444446±2.88476705548909,14.254243827160492±3.504739828761625,44.451388888888886±16.006240011902285,29.917777777777776±0.03768463386962646
2021-10-11,42.0,5,S,5.8954738391608394±2.4484628514654054,19.006604506604507±3.680804391223422,70.4513986013986±15.685012898177614,30.15909090909091±0.04085763199824146
2021-10-14,0.4,0,S,9.402904229166667±9.563288648754655,15.36496913580247±3.1586718619144936,78.48472222222222±12.500368325971078,29.91711805555555±0.1143548482159469
2021-10-30,47.0,9,E,6.45327654945055±2.90666182434665,27.21306471306471±4.487689910192889,56.336996336996336±9.809171192014688,30.066428571428574±0.026815879373138275
2021-11-05,166.0,0,S,16.148174028070176±5.53813684201147,16.58148148148148±1.3644920376597856,57.61894736842106±16.92300268908644,30.262894736842103±0.08549435452298877
2021-11-08,0.4,2,NNE,4.880351685314685±1.9434219766663372,23.964646464646464±4.135770024461825,52.26643356643357±11.332879933485547,30.151503496503498±0.03189640558881464
2021-11-23,45.0,46,E,9.572445307420494±3.2858152829827816,22.59501374165685±4.056346523419507,41.73144876325088±10.872280797404635,30.17941696113074±0.05543281661713071
2021-11-29,2.0,0,SW,13.773789448763251±5.755776550174245,22.45072634471928±4.694029294228544,51.78197879858657±20.663017130166025,29.91003533568905±0.021045345052524547
2021-12-06,135.0,3,SSE,6.823359593984962±2.547886374847855,23.341478696741852±4.076663546802478,63.96992481203007±13.98114355439729,30.265902255639098±0.029240928839919116
2021-12-12,2.0,0,SSW,7.4192256236933805±6.524080250052308,23.91908633372048±1.4606673909707037,65.9857142857143±5.62166495649794,29.838188153310103±0.055495474512195296
2021-12-15,7.0,0,SSW,7.842191812274368±3.782044441897818,22.13618130766145±4.753976535218427,64.67472924187726±13.810005182220094,30.121425992779784±0.024709305063275136
2021-12-20,10.0,3,SSE,7.339260958333333±2.744175585207022,27.955439814814813±3.774134733658143,53.46111111111111±9.815742252813806,30.004670138888887±0.06397118425754104
