stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:04:20Z,2021-01-12 00:04:20,1610420660,-32.970016,-60.62426,0.0,0.0,188.0,81.0,80.0,80.7,1,71.5,71.3,71.4,0.0,0.0,0.0,0.0,0.0,0.0,65.4,64.8,65.2,71.5,71.3,71.4,72.2,71.9,72.1,29.83,29.82,0.14,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:08:18Z,2021-01-12 00:08:18,1610420898,-32.970016,-60.62426,0.0,0.0,189.0,80.0,80.0,80.0,1,71.3,71.3,71.3,0.0,0.0,0.0,0.0,0.0,0.0,64.8,64.8,64.8,71.3,71.3,71.3,71.9,71.9,71.9,29.83,29.83,0.0,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:14:09Z,2021-01-12 00:14:09,1610421249,-32.970016,-60.62426,0.0,0.0,189.0,80.0,80.0,80.0,1,71.3,71.3,71.3,0.0,0.0,0.0,0.0,0.0,0.0,64.8,64.8,64.8,71.3,71.3,71.3,71.9,71.9,71.9,29.83,29.83,0.0,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:18:27Z,2021-01-12 00:18:27,1610421507,-32.970016,-60.62426,0.0,0.0,189.0,80.0,80.0,80.0,1,71.3,71.3,71.3,0.0,0.0,0.0,0.0,0.0,0.0,64.8,64.8,64.8,71.3,71.3,71.3,71.9,71.9,71.9,29.83,29.83,0.0,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:24:20Z,2021-01-12 00:24:20,1610421860,-32.970016,-60.62426,0.0,0.0,219.0,80.0,80.0,80.0,1,71.3,71.1,71.2,0.0,0.0,0.0,1.0,0.0,0.7,64.8,64.6,64.7,71.3,71.1,71.2,71.9,71.7,71.7,29.83,29.83,0.0,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:28:20Z,2021-01-12 00:28:20,1610422100,-32.970016,-60.62426,0.0,0.0,210.0,80.0,80.0,80.0,1,70.9,70.9,70.9,1.0,0.0,0.5,1.0,1.0,1.0,64.4,64.4,64.4,70.9,70.9,70.9,71.4,71.4,71.4,29.83,29.83,0.0,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:34:14Z,2021-01-12 00:34:14,1610422454,-32.970016,-60.62426,0.0,0.0,210.0,80.0,79.0,79.3,1,70.8,70.6,70.7,1.0,0.0,0.3,1.0,1.0,1.0,64.3,63.8,64.0,70.8,70.6,70.7,71.3,71.1,71.2,29.83,29.83,0.0,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:38:32Z,2021-01-12 00:38:32,1610422712,-32.970016,-60.62426,0.0,0.0,201.0,79.0,79.0,79.0,1,70.6,70.4,70.5,0.0,0.0,0.0,1.0,1.0,1.0,63.8,63.6,63.7,70.6,70.4,70.5,71.1,70.9,71.0,29.83,29.83,0.0,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:44:20Z,2021-01-12 00:44:20,1610423060,-32.970016,-60.62426,0.0,0.0,202.0,78.0,76.0,77.0,1,70.3,70.1,70.2,1.0,0.0,0.7,4.0,4.0,4.0,63.1,62.2,62.7,70.3,70.1,70.2,70.7,70.4,70.6,29.83,29.83,0.0,0.0,0.0
ISANTAFE117,America/Buenos_Aires,2021-01-12T03:48:23Z,2021-01-12 00:48:23,1610423303,-32.970016,-60.62426,0.0,0.0,202.0,75.0,75.0,75.0,1,70.1,69.9,70.0,1.0,1.0,1.0,6.0,4.0,5.0,61.8,61.6,61.7,70.1,69.9,70.0,70.3,69.9,70.1,29.83,29.83,0.0,0.0,0.0
